attestation_id,de_rar_record_id,de_rar_headword_diplomatic,de_rar_printed_page,rar_de_record_id,rar_de_component_index,rar_de_form_diplomatic,rar_de_german_gloss_local,rar_de_printed_page,graphic_key,short_form_warning,reciprocal_german_support,reciprocal_support_type,human_reviewed
RHD-IATT-000838,RHD-S1809-01434,Vergrößern,347,RHD-S1809-00046,1,Jolá,Machen,359,jola,False,False,none,False
RHD-IATT-000839,RHD-S1809-01434,Vergrößern,347,RHD-S1809-01847,1,Guelube,"Größer, länger",357,guelube,False,False,none,False
RHD-IATT-000840,RHD-S1809-01436,Verheyrathet,347,RHD-S1809-01757,1,Cunéameke,Verheurathete Weibsperson,356,cuneameke,False,False,none,False
RHD-IATT-000841,RHD-S1809-01436,Verheyrathet,347,RHD-S1809-02490,1,Upéameke,"Ein Verheyratheter, Ehemann",368,upeameke,False,False,none,False
RHD-IATT-000842,RHD-S1809-01440,Verhüllen,348,RHD-S1809-02188,1,Polé,Bedecken,364,pole,False,False,none,False
RHD-IATT-000843,RHD-S1809-01441,Verlaufen,348,RHD-S1809-02324,1,Talí,Verkaufen,366,tali,False,False,none,False
RHD-IATT-000844,RHD-S1809-01444,Verlaſſen,348,RHD-S1809-02237,1,Regué,Aufhören,364,regue,False,False,none,False
RHD-IATT-000845,RHD-S1809-01444,Verlaſſen,348,RHD-S1809-02250,1,Ropá,Verlassen,365,ropa,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000846,RHD-S1809-01450,Vermengen,348,RHD-S1809-01895,1,Hologuá,"Miſchen, Umrühren",358,hologua,False,False,none,False
RHD-IATT-000847,RHD-S1809-01451,Vernehmen,348,RHD-S1809-01952,1,Kakè,Hören,359,kake,False,False,none,False
RHD-IATT-000848,RHD-S1809-01453,Verriegeln,348,RHD-S1809-01774,1,Eke,"Zumachen, ſperren, ſchließen",356,eke,True,False,none,False
RHD-IATT-000849,RHD-S1809-01455,Verſammlung,348,RHD-S1809-02400,1,Tlatólle,Rottungen,367,tlatolle,False,False,none,False
RHD-IATT-000850,RHD-S1809-01457,Verſchlieſſen,348,RHD-S1809-01774,1,Eke,"Zumachen, ſperren, ſchließen",356,eke,True,False,none,False
RHD-IATT-000851,RHD-S1809-01457,Verſchlieſſen,348,RHD-S1809-01780,1,Euke,Es iſt zu,356,euke,False,False,none,False
RHD-IATT-000852,RHD-S1809-01458,Verſchlingen,348,RHD-S1809-01816,1,Guaguá,"Schlingen, schlucken",357,guagua,False,False,none,False
RHD-IATT-000853,RHD-S1809-01461,Verſperren,348,RHD-S1809-01774,1,Eke,"Zumachen, ſperren, ſchließen",356,eke,True,False,none,False
RHD-IATT-000854,RHD-S1809-01464,Verſtorben,348,RHD-S1809-02036,1,Mukúameke,Todt,361,mukuameke,False,False,none,False
RHD-IATT-000855,RHD-S1809-01466,Verſuchen,348,RHD-S1809-02262,1,Satuje,Anfechten,365,satuje,False,False,none,False
RHD-IATT-000856,RHD-S1809-01467,Verſucher,348,RHD-S1809-02261,1,Satiameke,Anfechter,365,satiameke,False,False,none,False
RHD-IATT-000857,RHD-S1809-01470,Verwandter,348,RHD-S1809-02357,1,Tehimá,Blutsfreund,366,tehima,False,False,none,False
RHD-IATT-000858,RHD-S1809-01470,Verwandter,348,RHD-S1809-02359,1,Tehiméameke,Verwandter,366,tehimeameke,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000859,RHD-S1809-01471,Verweilen,348,RHD-S1809-02203,1,Pugué,Warten,364,pugue,False,False,none,False
RHD-IATT-000860,RHD-S1809-01472,Verwerfen,348,RHD-S1809-02413,1,Tscháa,Wegwerfen,367,tschaa,False,False,none,False
RHD-IATT-000861,RHD-S1809-01475,Verzehren,348,RHD-S1809-02266,1,Schuguá,Verzehren,365,schugua,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000862,RHD-S1809-01477,Verziehen,348,RHD-S1809-02203,1,Pugué,Warten,364,pugue,False,False,none,False
RHD-IATT-000863,RHD-S1809-01478,Vieh,348,RHD-S1809-01691,1,Bucú,iſt der allgemeine Name aller vierfüßigen zahmen Thiere,355,bucu,False,False,none,False
RHD-IATT-000864,RHD-S1809-01480,Viel,348,RHD-S1809-01775,1,Eki,ſ,356,eki,True,False,none,False
RHD-IATT-000865,RHD-S1809-01480,Viel,348,RHD-S1809-01776,1,Ekipi,Nicht viel,356,ekipi,False,True,german_headword_gloss_containment,False
RHD-IATT-000866,RHD-S1809-01480,Viel,348,RHD-S1809-01781,1,Ekítschipí,Sehr wenig,356,ekitschipi,False,False,none,False
RHD-IATT-000867,RHD-S1809-01480,Viel,348,RHD-S1809-01927,1,Eki,Beißen,359,eki,True,False,none,False
RHD-IATT-000868,RHD-S1809-01480,Viel,348,RHD-S1809-02075,1,Naligué,"Haben, besitzen",362,naligue,False,False,none,False
RHD-IATT-000869,RHD-S1809-01480,Viel,348,RHD-S1809-02492,1,Vuechcá,Viel,368,vuechca,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000870,RHD-S1809-01480,Viel,348,RHD-S1809-02493,1,Vuechcabé,Mehr,368,vuechcabe,False,False,none,False
RHD-IATT-000871,RHD-S1809-01481,Vielleicht,348,RHD-S1809-01823,1,Gualéke,"Vielleicht, Etwan",357,gualeke,False,True,german_headword_gloss_containment,False
