triage_id,source_candidate_id,de_rar_record_id,de_rar_headword_diplomatic,candidate_span_diplomatic,graphic_key,printed_page,profile_class,machine_signal_confidence,review_priority_tier,profile_log_likelihood_ratio,german_anchor_token_ratio,nearest_rar_de_graphic_key,nearest_rar_de_edit_distance,nearest_rar_de_similarity,human_reviewed,decision
RHD-RTRI-001148,RHD-RSPAN-000258,RHD-S1809-00331,Dieſer,Nur dieſer,nur dieser,312,german_context_profile_signal,high_machine_context_signal,4,-1.1677,1.0,nachcala,5,0.5,False,not_assessed
RHD-RTRI-001149,RHD-RSPAN-000821,RHD-S1809-00981,Nur,Nur dieſer,nur dieser,334,german_context_profile_signal,high_machine_context_signal,4,-1.1677,1.0,nachcala,5,0.5,False,not_assessed
RHD-RTRI-001150,RHD-RSPAN-000046,RHD-S1809-00085,Alt,Ein altes Weib,ein altes weib,302,german_context_profile_signal,high_machine_context_signal,4,-1.1679,1.0,echtschiruc,5,0.643,False,not_assessed
RHD-RTRI-001151,RHD-RSPAN-001337,RHD-S1809-01539,Weit,dahin zu gelangen,dahin zu gelangen,350,german_context_profile_signal,high_machine_context_signal,4,-1.1695,1.0,,,0.0,False,not_assessed
RHD-RTRI-001152,RHD-RSPAN-000354,RHD-S1809-00448,Erwecken,Erwecken vom Tode,erwecken vom tode,315,german_context_profile_signal,high_machine_context_signal,4,-1.1711,1.0,etschaguoameke,5,0.706,False,not_assessed
RHD-RTRI-001153,RHD-RSPAN-000078,RHD-S1809-00120,Armbruſt,Sie wiſſen auch,sie wissen auch,304,german_context_profile_signal,high_machine_context_signal,4,-1.1745,1.0,sikirugameke,5,0.667,False,not_assessed
RHD-RTRI-001154,RHD-RSPAN-000101,RHD-S1809-00152,Baden,zu ſehr eingeſchränkt,zu sehr eingeschrankt,305,mixed_or_uncertain_profile,low_machine_signal,4,-1.1745,0.5,,,0.0,False,not_assessed
RHD-RTRI-001155,RHD-RSPAN-000446,RHD-S1809-00576,Gegenwart,in meiner Gegenwart,in meiner gegenwart,320,mixed_or_uncertain_profile,low_machine_signal,4,-1.1762,0.5,,,0.0,False,not_assessed
RHD-RTRI-001156,RHD-RSPAN-000625,RHD-S1809-00758,Ich,in meiner Gegenwart,in meiner gegenwart,326,mixed_or_uncertain_profile,low_machine_signal,4,-1.1762,0.5,,,0.0,False,not_assessed
RHD-RTRI-001157,RHD-RSPAN-001121,RHD-S1809-01310,Tanz,einem fliegenden Hemde,einem fliegenden hemde,345,mixed_or_uncertain_profile,low_machine_signal,4,-1.1762,0.0,,,0.0,False,not_assessed
RHD-RTRI-001158,RHD-RSPAN-000319,RHD-S1809-00414,Ente,ein eingemachtes Kaninchen,ein eingemachtes kaninchen,314,mixed_or_uncertain_profile,low_machine_signal,4,-1.1783,0.667,,,0.0,False,not_assessed
RHD-RTRI-001159,RHD-RSPAN-000318,RHD-S1809-00414,Ente,Die vornehmſten Fleiſchſpeiſen,die vornehmsten fleischspeisen,314,mixed_or_uncertain_profile,low_machine_signal,4,-1.1825,0.333,,,0.0,False,not_assessed
RHD-RTRI-001160,RHD-RSPAN-001235,RHD-S1809-01459,Verſchneiden,Verſchnittener Bock,verschnittener bock,348,mixed_or_uncertain_profile,low_machine_signal,4,-1.1929,0.5,,,0.0,False,not_assessed
RHD-RTRI-001161,RHD-RSPAN-001332,RHD-S1809-01534,Weib,Altes Weib,altes weib,350,german_context_profile_signal,high_machine_context_signal,4,-1.1966,1.0,acabilague,5,0.5,False,not_assessed
RHD-RTRI-001162,RHD-RSPAN-000126,RHD-S1809-00185,Bauen,nicht wenig beygetragen,nicht wenig beygetragen,307,mixed_or_uncertain_profile,low_machine_signal,4,-1.1971,0.667,,,0.0,False,not_assessed
RHD-RTRI-001163,RHD-RSPAN-000961,RHD-S1809-01145,Schuh,Sohle,sohle,340,german_context_profile_signal,high_machine_context_signal,4,-1.1977,1.0,saate,3,0.4,False,not_assessed
